Fiscal Year,Month Grouping,Month (abbv),Component,Demographic,Citizenship Grouping,Title of Authority,Encounter Type,Encounter Count
2023,Remaining,AUG,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,354
2023,Remaining,AUG,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,1650
2023,Remaining,AUG,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,9479
2023,Remaining,AUG,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,11628
2023,Remaining,AUG,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,511
2023,Remaining,AUG,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,337
2023,Remaining,AUG,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,1720
2023,Remaining,AUG,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,5962
2023,Remaining,AUG,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,18894
2023,Remaining,AUG,Office of Field Operations,UAC,El Salvador,Title 8,Inadmissibles,6
2023,Remaining,AUG,Office of Field Operations,UAC,Guatemala,Title 8,Inadmissibles,41
2023,Remaining,AUG,Office of Field Operations,UAC,Honduras,Title 8,Inadmissibles,53
2023,Remaining,AUG,Office of Field Operations,UAC,Mexico,Title 8,Inadmissibles,416
2023,Remaining,AUG,Office of Field Operations,UAC,Other,Title 8,Inadmissibles,194
2023,Remaining,AUG,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,3159
2023,Remaining,AUG,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,26242
2023,Remaining,AUG,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,23656
2023,Remaining,AUG,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,11569
2023,Remaining,AUG,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,28485
2023,Remaining,AUG,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,1098
2023,Remaining,AUG,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,5600
2023,Remaining,AUG,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,4147
2023,Remaining,AUG,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,25750
2023,Remaining,AUG,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,37821
2023,Remaining,AUG,U.S. Border Patrol,UAC,El Salvador,Title 8,Apprehensions,806
2023,Remaining,AUG,U.S. Border Patrol,UAC,Guatemala,Title 8,Apprehensions,5363
2023,Remaining,AUG,U.S. Border Patrol,UAC,Honduras,Title 8,Apprehensions,3939
2023,Remaining,AUG,U.S. Border Patrol,UAC,Mexico,Title 8,Apprehensions,2189
2023,Remaining,AUG,U.S. Border Patrol,UAC,Other,Title 8,Apprehensions,1230
2023,FYTD,DEC,Office of Field Operations,Accompanied Minors,El Salvador,Title 42,Expulsions,2
2023,FYTD,DEC,Office of Field Operations,Accompanied Minors,Guatemala,Title 42,Expulsions,2
2023,FYTD,DEC,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,27
2023,FYTD,DEC,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,163
2023,FYTD,DEC,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,63
2023,FYTD,DEC,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,25
2023,FYTD,DEC,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,8
2023,FYTD,DEC,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,440
2023,FYTD,DEC,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,369
2023,FYTD,DEC,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,1924
2023,FYTD,DEC,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,6050
2023,FYTD,DEC,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,7692
2023,FYTD,DEC,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,11
2023,FYTD,DEC,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,235
2023,FYTD,DEC,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,34
2023,FYTD,DEC,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,184
2023,FYTD,DEC,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,28
2023,FYTD,DEC,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,932
2023,FYTD,DEC,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1501
2023,FYTD,DEC,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,3552
2023,FYTD,DEC,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,148
2023,FYTD,DEC,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,6459
2023,FYTD,DEC,Office of Field Operations,UAC,El Salvador,Title 8,Inadmissibles,15
2023,FYTD,DEC,Office of Field Operations,UAC,Guatemala,Title 8,Inadmissibles,50
2023,FYTD,DEC,Office of Field Operations,UAC,Honduras,Title 8,Inadmissibles,36
2023,FYTD,DEC,Office of Field Operations,UAC,Mexico,Title 8,Inadmissibles,293
2023,FYTD,DEC,Office of Field Operations,UAC,Other,Title 8,Inadmissibles,54
2023,FYTD,DEC,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,376
2023,FYTD,DEC,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,560
2023,FYTD,DEC,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,1478
2023,FYTD,DEC,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,345
2023,FYTD,DEC,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,1808
2023,FYTD,DEC,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,579
2023,FYTD,DEC,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,1461
2023,FYTD,DEC,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,2095
2023,FYTD,DEC,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,3553
2023,FYTD,DEC,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,48588
2023,FYTD,DEC,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,2057
2023,FYTD,DEC,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,280
2023,FYTD,DEC,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Expulsions,7227
2023,FYTD,DEC,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,395
2023,FYTD,DEC,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,4972
2023,FYTD,DEC,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,373
2023,FYTD,DEC,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,23672
2023,FYTD,DEC,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,7958
2023,FYTD,DEC,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,4751
2023,FYTD,DEC,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,97661
2023,FYTD,DEC,U.S. Border Patrol,UAC,El Salvador,Title 8,Apprehensions,884
